Tipo de delito,Clave_Ent,Modalidad,Sexo,Rango de edad,Categoria del delito,Clasificacion de edad
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
4,1,2.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,2.0,2.0,1.0,2.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
2,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
1,1,1.0,2.0,2.0,1.0,1.0
3,1,1.0,2.0,2.0,1.0,1.0
3,1,1.0,2.0,2.0,1.0,1.0
3,1,1.0,2.0,2.0,1.0,1.0
3,1,1.0,2.0,2.0,1.0,1.0
4,1,2.0,2.0,2.0,2.0,1.0
4,1,1.0,2.0,2.0,2.0,1.0
4,1,1.0,2.0,2.0,2.0,1.0
4,1,1.0,2.0,2.0,2.0,1.0
4,1,2.0,2.0,2.0,2.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
3,1,1.0,2.0,1.0,1.0,1.0
4,1,2.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,2.0,2.0,1.0,2.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
4,1,2.0,1.0,1.0,2.0,1.0
4,1,1.0,1.0,1.0,2.0,1.0
4,1,1.0,1.0,1.0,2.0,1.0
4,1,1.0,1.0,1.0,2.0,1.0
4,1,2.0,1.0,1.0,2.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
2,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
1,1,1.0,1.0,2.0,1.0,1.0
4,1,2.0,1.0,2.0,2.0,1.0
4,1,1.0,1.0,2.0,2.0,1.0
4,1,1.0,1.0,2.0,2.0,1.0
4,1,1.0,1.0,2.0,2.0,1.0
4,1,2.0,1.0,2.0,2.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0,1.0
4,1,2.0,1.0,1.0,2.0,1.0
4,1,1.0,1.0,1.0,2.0,1.0
4,1,1.0,1.0,1.0,2.0,1.0
4,1,1.0,1.0,1.0,2.0,1.0
4,1,2.0,1.0,1.0,2.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
2,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
1,1,1.0,2.0,1.0,1.0,1.0
4,1,2.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,1.0,2.0,1.0,2.0,1.0
4,1,2.0,2.0,1.0,2.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
4,2,2.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,2.0,2.0,1.0,2.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
2,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
1,2,1.0,2.0,2.0,1.0,1.0
3,2,1.0,2.0,2.0,1.0,1.0
3,2,1.0,2.0,2.0,1.0,1.0
3,2,1.0,2.0,2.0,1.0,1.0
3,2,1.0,2.0,2.0,1.0,1.0
4,2,2.0,2.0,2.0,2.0,1.0
4,2,1.0,2.0,2.0,2.0,1.0
4,2,1.0,2.0,2.0,2.0,1.0
4,2,1.0,2.0,2.0,2.0,1.0
4,2,2.0,2.0,2.0,2.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
3,2,1.0,2.0,1.0,1.0,1.0
4,2,2.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,2.0,2.0,1.0,2.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
4,2,2.0,1.0,1.0,2.0,1.0
4,2,1.0,1.0,1.0,2.0,1.0
4,2,1.0,1.0,1.0,2.0,1.0
4,2,1.0,1.0,1.0,2.0,1.0
4,2,2.0,1.0,1.0,2.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
2,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
1,2,1.0,1.0,2.0,1.0,1.0
4,2,2.0,1.0,2.0,2.0,1.0
4,2,1.0,1.0,2.0,2.0,1.0
4,2,1.0,1.0,2.0,2.0,1.0
4,2,1.0,1.0,2.0,2.0,1.0
4,2,2.0,1.0,2.0,2.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
1,2,1.0,1.0,1.0,1.0,1.0
4,2,2.0,1.0,1.0,2.0,1.0
4,2,1.0,1.0,1.0,2.0,1.0
4,2,1.0,1.0,1.0,2.0,1.0
4,2,1.0,1.0,1.0,2.0,1.0
4,2,2.0,1.0,1.0,2.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
2,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
1,2,1.0,2.0,1.0,1.0,1.0
4,2,2.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,1.0,2.0,1.0,2.0,1.0
4,2,2.0,2.0,1.0,2.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
4,3,2.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,2.0,2.0,1.0,2.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
2,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
1,3,1.0,2.0,2.0,1.0,1.0
3,3,1.0,2.0,2.0,1.0,1.0
3,3,1.0,2.0,2.0,1.0,1.0
3,3,1.0,2.0,2.0,1.0,1.0
3,3,1.0,2.0,2.0,1.0,1.0
4,3,2.0,2.0,2.0,2.0,1.0
4,3,1.0,2.0,2.0,2.0,1.0
4,3,1.0,2.0,2.0,2.0,1.0
4,3,1.0,2.0,2.0,2.0,1.0
4,3,2.0,2.0,2.0,2.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
3,3,1.0,2.0,1.0,1.0,1.0
4,3,2.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,2.0,2.0,1.0,2.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
4,3,2.0,1.0,1.0,2.0,1.0
4,3,1.0,1.0,1.0,2.0,1.0
4,3,1.0,1.0,1.0,2.0,1.0
4,3,1.0,1.0,1.0,2.0,1.0
4,3,2.0,1.0,1.0,2.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
2,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
1,3,1.0,1.0,2.0,1.0,1.0
4,3,2.0,1.0,2.0,2.0,1.0
4,3,1.0,1.0,2.0,2.0,1.0
4,3,1.0,1.0,2.0,2.0,1.0
4,3,1.0,1.0,2.0,2.0,1.0
4,3,2.0,1.0,2.0,2.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
1,3,1.0,1.0,1.0,1.0,1.0
4,3,2.0,1.0,1.0,2.0,1.0
4,3,1.0,1.0,1.0,2.0,1.0
4,3,1.0,1.0,1.0,2.0,1.0
4,3,1.0,1.0,1.0,2.0,1.0
4,3,2.0,1.0,1.0,2.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
2,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
1,3,1.0,2.0,1.0,1.0,1.0
4,3,2.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,1.0,2.0,1.0,2.0,1.0
4,3,2.0,2.0,1.0,2.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
3,4,1.0,2.0,1.0,1.0,1.0
3,4,1.0,2.0,1.0,1.0,1.0
3,4,1.0,2.0,1.0,1.0,1.0
3,4,1.0,2.0,1.0,1.0,1.0
4,4,2.0,2.0,1.0,2.0,1.0
4,4,1.0,2.0,1.0,2.0,1.0
4,4,1.0,2.0,1.0,2.0,1.0
4,4,1.0,2.0,1.0,2.0,1.0
4,4,2.0,2.0,1.0,2.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
2,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
1,4,1.0,2.0,2.0,1.0,1.0
3,4,1.0,2.0,2.0,1.0,1.0
3,4,1.0,2.0,2.0,1.0,1.0
3,4,1.0,2.0,2.0,1.0,1.0
3,4,1.0,2.0,2.0,1.0,1.0
4,4,2.0,2.0,2.0,2.0,1.0
4,4,1.0,2.0,2.0,2.0,1.0
4,4,1.0,2.0,2.0,2.0,1.0
4,4,1.0,2.0,2.0,2.0,1.0
4,4,2.0,2.0,2.0,2.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
2,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
1,4,1.0,2.0,1.0,1.0,1.0
