etiqueta,delito,sexo,alcaldia_hecho,hora_clasificada,edad_categorizada,tiempo-respuesta
clase2,23,2,3,4,3,1
clase2,21,1,3,4,3,4
clase2,21,1,3,4,3,1
clase1,12,1,3,4,3,1
clase2,23,1,15,4,3,1
clase2,23,2,15,4,3,1
clase3,31,1,17,4,3,1
clase2,23,2,15,4,3,1
clase2,21,1,16,4,4,1
clase3,31,1,15,4,3,1
clase1,11,1,7,4,3,1
clase2,21,1,11,4,3,1
clase2,21,1,10,4,3,4
clase2,23,2,5,4,3,3
clase2,21,1,5,4,3,2
clase2,23,1,5,4,3,3
clase2,24,2,6,4,3,2
clase2,22,1,6,4,3,2
clase2,23,1,6,4,3,2
clase2,21,1,6,4,3,1
clase2,21,2,7,4,3,2
clase2,23,1,7,4,3,2
clase2,21,1,7,4,3,1
clase3,34,1,7,4,3,2
clase2,22,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,21,2,7,4,3,2
clase2,21,1,7,4,3,1
clase2,22,1,7,4,3,2
clase2,21,1,6,4,3,1
clase2,21,1,6,4,3,1
clase3,34,1,7,4,3,4
clase3,34,1,7,4,3,3
clase3,34,1,7,4,3,3
clase2,23,1,8,4,3,1
clase2,23,1,10,4,3,1
clase1,12,1,16,4,3,1
clase2,23,1,16,4,3,2
clase2,23,2,14,4,3,4
clase2,21,1,11,4,3,1
clase2,23,2,11,4,3,3
clase1,11,1,11,4,3,2
clase2,21,1,11,4,3,2
clase2,21,1,12,4,3,2
clase2,22,1,12,4,3,3
clase3,34,1,17,4,3,2
clase2,23,1,17,4,3,1
clase3,31,1,17,4,3,1
clase2,21,1,13,4,3,1
clase3,31,1,17,4,3,3
clase3,31,1,16,4,3,2
clase2,23,1,3,4,3,3
clase3,31,2,15,4,3,4
clase2,23,2,15,4,3,2
clase1,11,2,15,4,3,1
clase1,11,2,15,4,2,1
clase1,11,2,15,4,1,1
clase1,11,2,7,4,4,1
clase1,11,2,7,4,2,1
clase2,23,2,10,4,2,1
clase2,23,2,7,4,3,2
clase2,21,2,10,4,3,4
clase2,21,2,2,4,3,1
clase2,21,1,2,4,3,4
clase3,34,1,2,4,3,2
clase3,34,1,2,4,3,2
clase2,23,1,14,4,3,2
clase2,21,1,3,4,3,1
clase2,21,2,3,4,3,1
clase2,23,1,3,4,3,2
clase2,21,1,3,4,3,2
clase2,21,1,3,4,3,1
clase2,21,1,7,4,3,2
clase2,21,1,15,4,4,4
clase2,21,1,16,4,3,4
clase2,23,1,15,4,3,4
clase2,23,2,4,4,3,1
clase2,23,2,15,4,3,1
clase1,11,1,5,4,3,1
clase1,11,1,5,4,3,1
clase1,11,1,17,4,3,1
clase1,11,1,17,4,3,1
clase2,21,1,17,4,3,1
clase2,21,1,7,4,3,1
clase2,21,1,6,4,3,4
clase2,23,1,5,4,3,3
clase2,21,1,5,4,3,4
clase2,21,1,5,4,3,2
clase2,23,1,5,4,4,2
clase2,21,1,5,4,3,1
clase2,23,1,6,4,3,1
clase2,21,1,7,4,3,2
clase2,21,2,7,4,3,1
clase2,23,2,7,4,3,1
clase2,23,2,7,4,3,1
clase2,22,1,7,4,3,1
clase2,22,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,22,1,7,4,3,4
clase2,21,1,3,4,3,1
clase2,23,1,7,4,3,2
clase2,23,2,7,4,3,1
clase1,11,1,7,4,2,1
clase2,22,1,7,4,3,2
clase2,21,1,7,4,3,2
clase2,23,2,8,4,3,3
clase2,21,2,10,4,3,1
clase2,23,1,16,4,3,1
clase2,23,1,16,4,3,2
clase2,23,1,16,4,3,1
clase2,21,1,9,4,3,2
clase2,21,1,11,4,3,2
clase2,23,2,11,4,3,3
clase2,22,1,11,4,3,2
clase2,21,1,12,4,3,1
clase2,23,1,12,4,3,2
clase1,12,1,12,4,3,2
clase1,12,1,12,4,3,2
clase2,21,1,12,4,3,1
clase2,21,1,17,4,3,3
clase2,23,1,17,4,3,1
clase2,21,1,17,4,3,1
clase1,11,1,17,4,3,2
clase1,11,2,11,4,3,1
clase2,23,1,10,4,3,1
clase1,12,1,10,4,3,1
clase2,23,1,10,4,3,1
clase2,23,1,10,4,3,3
clase3,34,1,10,4,3,3
clase3,33,1,10,4,3,4
clase2,21,1,10,4,3,2
clase2,23,1,2,4,3,1
clase2,23,2,2,4,3,1
clase2,23,1,2,4,3,1
clase2,21,1,2,4,3,1
clase1,12,1,2,4,3,2
clase2,21,1,14,4,3,1
clase2,21,1,14,4,4,1
clase2,21,1,3,4,3,2
clase3,35,1,3,4,3,1
clase2,21,1,3,4,3,3
clase2,23,2,3,4,3,1
clase2,23,1,3,4,3,2
clase2,23,1,3,4,3,1
clase2,23,2,15,4,3,2
clase2,23,2,15,4,3,2
clase2,21,2,12,4,3,4
clase2,23,2,15,4,3,3
clase3,31,1,15,4,3,1
clase2,21,1,4,4,3,3
clase2,23,1,4,4,3,1
clase2,21,1,7,4,3,1
clase2,21,2,5,4,3,4
clase2,21,2,5,4,3,2
clase2,23,1,5,4,3,2
clase2,22,1,5,4,3,1
clase2,21,1,5,4,3,2
clase2,23,2,5,4,3,1
clase2,23,1,5,4,2,1
clase2,21,1,5,4,3,2
clase2,22,1,5,4,3,3
clase2,23,2,5,4,3,4
clase2,21,2,5,4,3,1
clase2,23,1,6,4,3,2
clase2,21,1,6,4,3,3
clase2,23,1,6,4,3,1
clase2,23,2,6,4,3,1
clase2,23,2,6,4,3,1
clase2,21,1,7,4,3,1
clase2,23,2,7,4,3,1
clase3,34,1,7,4,3,1
clase1,11,1,7,4,3,2
clase1,11,2,7,4,3,2
clase3,34,1,7,4,3,1
clase2,22,1,7,4,3,2
clase2,22,1,7,4,3,2
clase2,23,1,7,4,3,1
clase2,21,1,9,4,3,2
clase2,22,1,16,4,3,1
clase2,22,1,16,4,3,2
clase1,11,1,16,4,3,2
clase2,23,1,16,4,3,3
clase2,21,1,16,4,3,1
clase3,33,1,16,4,3,2
clase2,23,1,11,4,3,2
clase2,23,2,11,4,3,1
clase2,23,1,13,4,3,3
clase2,23,1,12,4,3,1
clase2,21,2,13,4,3,4
clase2,21,1,13,4,2,4
clase3,34,1,15,4,3,3
clase2,21,1,16,4,3,3
clase2,23,1,15,4,3,3
clase2,23,1,7,4,3,1
clase2,23,2,7,4,3,4
clase3,34,1,15,4,3,3
clase2,23,2,10,4,3,1
clase2,23,1,10,4,3,4
clase2,23,1,10,4,3,3
clase3,34,1,10,4,3,1
clase3,31,1,15,4,3,2
clase2,23,1,2,4,2,1
clase2,23,1,14,4,3,1
clase2,23,1,14,4,3,1
clase2,21,1,7,4,3,1
clase2,21,1,14,4,3,1
clase2,21,1,14,4,3,2
clase2,21,1,14,4,3,4
clase2,21,1,14,4,3,4
clase2,23,2,14,4,3,3
clase2,23,1,3,4,3,1
clase2,23,2,3,4,3,1
clase2,23,1,3,4,3,1
clase2,21,1,14,4,3,1
clase2,24,1,3,4,3,3
clase2,21,1,15,4,3,1
clase2,23,1,15,4,3,1
clase2,23,2,15,4,3,1
clase2,23,1,15,4,3,1
clase2,21,1,15,4,3,4
clase2,21,2,15,4,3,3
clase2,23,1,15,4,3,4
clase3,31,1,15,4,3,3
clase2,23,2,16,4,3,1
clase2,23,1,16,4,3,1
clase2,21,1,7,4,3,1
clase2,21,1,5,4,3,1
clase2,21,2,5,4,3,1
clase2,23,1,5,4,3,1
clase2,21,1,5,4,3,1
clase3,35,1,5,4,3,4
clase2,23,1,5,4,3,1
clase2,22,1,5,4,3,2
clase2,21,1,5,4,3,3
clase2,23,1,5,4,3,1
clase2,23,2,5,4,3,1
clase2,21,1,5,4,3,1
clase2,23,1,5,4,3,2
clase2,21,1,5,4,3,2
clase1,12,1,5,4,3,1
clase1,12,1,5,4,3,1
clase3,34,1,6,4,3,3
clase3,34,1,6,4,3,3
clase3,33,2,6,4,3,3
clase2,21,2,6,4,3,4
clase2,23,2,6,4,3,1
clase2,23,2,6,4,3,1
clase2,22,1,6,4,3,1
clase2,22,1,7,4,3,1
clase2,21,1,7,4,3,3
clase2,21,2,7,4,3,1
clase2,22,2,7,4,3,2
clase2,22,1,7,4,3,2
clase2,23,2,7,4,3,1
clase2,23,2,7,4,3,1
clase3,31,1,7,4,3,1
clase2,23,2,7,4,3,1
clase2,21,1,11,4,3,3
clase2,21,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,21,1,7,4,3,3
clase2,21,1,8,4,3,2
clase2,21,2,8,4,3,2
clase2,21,1,8,4,3,2
clase2,22,1,16,4,3,2
clase2,22,1,16,4,3,2
clase2,22,1,16,4,3,2
clase2,22,1,16,4,3,2
clase3,32,1,16,4,3,1
clase2,24,1,16,4,3,1
clase2,22,1,16,4,3,1
clase2,21,1,16,4,3,1
clase2,23,1,16,4,3,1
clase2,23,2,16,4,3,1
clase2,22,1,16,4,3,1
clase2,21,2,11,4,3,1
clase2,21,1,11,4,3,2
clase3,35,1,17,4,3,3
clase3,34,1,17,4,3,4
clase2,21,1,17,4,3,1
clase2,22,1,17,4,3,3
clase1,12,2,17,4,3,1
clase2,23,1,17,4,3,1
clase2,21,1,17,4,3,1
clase3,34,1,13,4,3,4
clase2,21,1,13,4,3,3
clase3,31,1,15,4,3,3
clase2,21,2,5,4,3,4
clase2,21,2,12,4,4,1
clase3,32,1,7,4,3,1
clase2,23,2,16,4,3,3
clase1,11,2,7,4,3,1
clase2,21,1,16,4,3,1
clase3,34,1,10,4,3,1
clase2,23,2,10,4,3,1
clase2,23,1,10,4,3,2
clase2,21,1,10,4,3,3
clase2,23,1,2,4,3,1
clase2,23,1,2,4,3,1
clase2,23,1,2,4,3,1
clase2,21,1,14,4,3,1
clase2,23,2,14,4,3,2
clase3,34,1,14,4,3,2
clase2,23,1,3,4,3,1
clase2,23,2,3,4,3,1
clase2,21,1,3,4,3,2
clase1,11,1,3,4,3,1
clase2,23,1,15,4,3,1
clase2,23,2,15,4,3,1
clase2,23,1,15,4,3,1
clase2,21,2,15,4,4,3
clase3,31,1,15,4,3,1
clase2,23,1,15,4,3,1
clase2,23,2,7,4,3,1
clase1,11,1,7,4,3,1
clase2,21,1,14,4,3,4
clase2,21,1,17,4,3,3
clase2,23,1,5,4,3,3
clase3,34,1,5,4,3,1
clase3,34,1,5,4,3,1
clase2,21,1,6,4,3,1
clase2,23,1,6,4,3,1
clase2,22,1,6,4,3,2
clase2,22,1,6,4,3,2
clase2,23,2,6,4,3,1
clase2,23,2,7,4,3,3
clase2,22,1,7,4,3,4
clase2,21,1,14,4,3,1
clase2,23,1,7,4,3,1
clase2,21,1,7,4,3,3
clase2,21,1,7,4,3,1
clase2,23,1,7,4,3,2
clase2,22,1,7,4,3,1
clase2,21,2,7,4,3,1
clase2,23,1,7,4,3,1
clase2,22,1,7,4,3,2
clase2,21,1,7,4,3,3
clase3,32,1,7,4,3,2
clase2,21,1,9,4,3,3
clase2,21,2,8,4,3,1
clase2,23,1,8,4,3,1
clase2,24,1,8,4,3,1
clase3,34,1,16,4,3,2
clase2,23,1,16,4,3,2
clase2,23,2,16,4,3,2
clase2,23,1,16,4,3,3
clase3,35,2,16,4,3,1
clase2,23,1,16,4,3,1
clase2,23,2,11,4,3,1
clase2,23,2,13,4,3,1
clase2,23,1,13,4,3,1
clase2,23,2,11,4,3,1
clase2,21,1,11,4,3,2
clase2,21,1,12,4,3,3
clase2,21,1,12,4,3,2
clase2,23,2,12,4,3,1
clase2,23,1,15,4,3,1
clase2,21,1,17,4,3,3
clase2,23,2,17,4,3,1
clase2,23,1,7,4,3,2
clase2,21,1,17,4,3,1
clase3,34,1,13,4,3,4
clase3,34,1,13,4,3,4
clase2,22,1,12,4,3,2
clase2,22,1,13,4,3,1
clase3,34,1,5,4,3,1
clase3,34,1,5,4,3,1
clase3,31,1,3,4,3,4
clase3,32,1,3,4,3,1
clase3,31,1,6,4,3,2
clase2,23,2,15,4,3,2
clase2,23,1,10,4,3,4
clase1,12,1,10,4,2,2
clase2,21,1,10,4,3,1
clase2,22,1,10,4,3,2
clase2,21,1,10,4,3,1
clase2,23,1,2,4,2,1
clase2,23,2,2,4,3,1
clase2,23,1,2,4,3,1
clase3,34,1,2,4,3,4
clase3,34,1,2,4,3,1
clase2,21,1,14,4,3,1
clase1,11,1,17,4,3,1
clase3,32,1,3,4,4,3
clase2,23,1,3,4,3,1
clase2,22,1,15,4,3,1
clase3,35,2,2,4,3,2
clase2,22,1,15,4,3,2
clase3,34,1,15,4,3,1
clase3,34,1,15,4,3,1
clase2,21,2,17,4,3,2
clase3,34,1,15,4,3,1
clase2,23,1,7,4,3,2
clase2,23,1,15,4,3,1
clase1,11,1,17,4,3,1
clase1,11,1,5,4,3,1
clase1,11,2,5,4,3,1
clase1,11,1,5,4,3,1
clase2,21,2,5,4,3,1
clase2,23,1,5,4,3,1
clase3,33,2,5,4,3,2
clase2,23,2,5,4,3,2
clase3,32,2,6,4,3,3
clase3,34,1,6,4,3,1
clase3,34,1,11,4,3,4
clase3,34,1,7,4,3,1
clase2,21,2,7,4,3,2
clase2,23,1,7,4,3,2
clase2,23,2,7,4,3,1
clase1,11,1,7,4,3,1
clase2,23,1,7,4,3,2
clase2,22,1,7,4,3,2
clase2,21,1,7,4,3,1
clase1,11,1,8,4,3,1
clase2,21,2,8,4,3,3
clase2,24,2,16,4,3,1
clase3,34,1,16,4,3,2
clase3,34,1,16,4,3,2
clase3,34,1,16,4,3,2
clase2,23,2,15,4,3,3
clase2,23,1,15,4,3,3
clase2,22,2,16,4,3,1
clase2,22,2,16,4,3,1
clase2,22,2,16,4,3,1
clase2,22,1,16,4,3,1
clase2,22,1,16,4,3,1
clase2,23,1,16,4,3,1
clase2,23,1,16,4,3,1
clase2,21,1,9,4,3,2
clase2,21,1,7,4,3,1
clase2,21,2,11,4,3,3
clase2,21,1,12,4,3,2
clase3,32,2,12,4,3,2
clase2,21,1,12,4,3,1
clase2,21,2,13,4,3,1
clase1,11,1,12,4,3,1
clase1,11,2,12,4,3,1
clase2,22,2,12,4,3,1
clase2,22,1,12,4,3,1
clase2,23,2,12,4,2,1
clase2,23,2,12,4,3,1
clase2,21,1,17,4,3,2
clase3,32,2,17,4,3,3
clase3,32,1,17,4,3,3
clase2,21,1,17,4,3,2
clase2,21,1,17,4,3,2
clase2,23,2,17,4,3,1
clase2,22,1,17,4,3,2
clase2,23,2,17,4,3,2
clase3,32,2,6,4,3,2
clase2,24,2,13,4,4,1
clase3,32,2,13,4,3,1
clase2,23,1,7,4,3,1
clase3,31,1,16,4,3,2
clase3,31,1,15,4,3,1
clase3,31,1,16,4,3,3
clase2,23,1,11,4,3,2
clase1,11,2,11,4,3,1
clase1,11,1,11,4,3,1
clase2,23,1,10,4,3,1
clase2,22,1,10,4,3,1
clase2,23,1,10,4,3,2
clase2,22,1,4,4,3,3
clase2,22,1,4,4,3,3
clase2,22,1,10,4,3,3
clase2,22,1,10,4,3,3
clase2,23,2,10,4,3,3
clase3,34,1,2,4,3,1
clase3,34,1,2,4,3,4
clase2,23,1,14,4,3,1
clase2,22,1,14,4,3,1
clase2,23,2,14,4,3,1
clase3,35,2,14,4,4,1
clase2,23,1,3,4,3,2
clase2,21,1,3,4,3,3
clase1,12,2,3,4,3,1
clase2,23,1,3,4,3,2
clase2,21,1,15,4,3,3
clase2,21,1,15,4,3,1
clase2,21,1,15,4,3,2
clase2,21,2,15,4,3,2
clase1,12,1,15,4,3,1
clase3,34,1,16,4,3,1
clase2,23,1,15,4,3,4
clase2,23,2,15,4,3,4
clase2,22,1,15,4,3,1
clase1,11,1,17,4,3,1
clase1,11,2,17,4,3,1
clase2,21,1,12,4,3,4
clase2,21,2,15,4,3,1
clase2,21,2,7,4,3,1
clase2,21,1,5,4,3,3
clase2,21,2,5,4,3,4
clase2,23,1,5,4,4,1
clase2,23,2,5,4,3,1
clase2,21,1,7,4,3,1
clase2,21,1,7,4,3,2
clase2,23,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,21,1,7,4,3,1
clase2,23,2,7,4,3,1
clase2,23,2,7,4,3,1
clase2,22,1,7,4,3,3
clase2,21,1,7,4,3,2
clase3,34,1,7,4,3,2
clase2,22,1,7,4,3,1
clase2,22,1,7,4,3,2
clase2,21,2,7,4,3,3
clase2,23,1,7,4,3,2
clase2,23,1,7,4,3,2
clase2,23,1,7,4,3,2
clase2,21,1,11,4,3,1
clase2,23,1,8,4,3,2
clase3,35,1,8,4,3,1
clase2,23,2,16,4,3,4
clase2,23,1,16,4,3,4
clase3,35,1,16,4,3,1
clase2,23,1,16,4,3,2
clase2,23,2,16,4,3,1
clase3,34,1,11,4,3,4
clase2,21,1,11,4,3,3
clase2,21,1,12,4,3,1
clase2,21,1,12,4,3,3
clase2,21,1,12,4,3,2
clase2,23,2,17,4,3,2
clase2,22,1,17,4,3,2
clase2,21,1,17,4,3,3
clase3,34,1,17,4,3,2
clase2,23,1,17,4,3,1
clase2,23,1,17,4,3,1
clase3,34,1,17,4,3,2
clase3,31,1,17,4,3,3
clase2,23,1,13,4,3,3
clase3,34,1,13,4,3,2
clase2,22,1,13,4,3,2
clase3,32,2,13,4,3,2
clase2,21,2,13,4,3,2
clase2,21,1,13,4,3,2
clase2,23,2,13,4,3,1
clase2,23,1,13,4,3,1
clase2,23,1,14,4,3,2
clase2,23,1,3,4,3,2
clase2,23,1,5,4,3,3
clase2,23,2,14,4,3,1
clase3,31,1,16,4,3,2
clase2,23,2,14,4,3,1
clase2,23,2,10,4,3,1
clase2,21,1,10,4,3,1
clase2,22,1,10,4,3,3
clase2,22,1,10,4,3,3
clase2,21,1,10,4,3,2
clase2,23,1,10,4,3,1
clase2,23,1,10,4,3,1
clase2,23,1,2,4,3,1
clase2,23,2,2,4,3,1
clase2,21,1,2,4,3,1
clase2,21,2,2,4,3,1
clase2,23,1,14,4,3,1
clase1,12,1,8,4,3,1
clase1,12,1,8,4,3,1
clase2,21,1,14,4,3,1
clase2,23,1,3,4,3,2
clase2,22,1,3,4,3,3
clase3,34,1,17,4,3,1
clase3,34,1,17,4,3,1
clase2,23,2,15,4,3,1
clase2,22,1,15,4,3,1
clase3,31,1,5,4,3,2
clase2,22,1,15,4,3,2
clase2,23,1,15,4,3,3
clase2,21,1,15,4,3,2
clase2,23,1,15,4,3,2
clase2,23,2,16,4,3,2
clase3,31,1,6,4,3,1
clase2,23,1,15,4,3,1
clase2,21,1,15,4,3,4
clase2,23,1,15,4,3,1
clase3,34,1,4,4,3,3
clase3,34,1,4,4,3,3
clase1,11,1,15,4,3,1
clase2,21,2,17,4,3,2
clase2,21,2,12,4,3,3
clase2,21,1,7,4,3,2
clase2,25,1,5,4,3,3
clase2,23,1,5,4,3,1
clase3,34,1,5,4,3,2
clase2,21,1,5,4,3,4
clase2,23,1,5,4,3,2
clase2,21,2,5,4,3,2
clase2,23,2,5,4,3,2
clase3,34,1,6,4,3,2
clase2,23,1,6,4,3,1
clase2,23,1,6,4,3,1
clase2,25,1,7,4,3,3
clase1,11,1,7,4,3,3
clase2,23,1,7,4,3,1
clase2,23,2,7,4,3,1
clase2,22,1,7,4,3,1
clase2,21,1,7,4,3,1
clase2,24,1,8,4,3,1
clase2,23,1,16,4,3,2
clase3,31,1,16,4,3,2
clase3,31,2,16,4,3,3
clase2,22,1,16,4,3,1
clase2,23,2,15,4,3,1
clase2,21,1,11,4,3,2
clase2,21,1,11,4,3,1
clase2,23,2,12,4,3,4
clase2,21,1,12,4,3,1
clase2,23,1,12,4,3,1
clase2,21,1,12,4,3,1
clase2,23,2,15,4,3,2
clase2,21,2,17,4,4,4
clase2,22,1,13,4,3,2
clase2,22,1,5,4,3,1
clase2,23,2,5,4,3,1
clase2,23,1,10,4,3,1
clase2,24,1,10,4,3,2
clase2,23,1,10,4,3,3
clase2,21,1,2,4,3,1
clase2,23,1,2,4,3,1
clase2,23,1,2,4,3,1
clase3,34,1,2,4,3,2
clase3,34,1,2,4,3,2
clase3,34,1,2,4,3,2
clase2,23,2,14,4,3,1
clase2,23,1,3,4,3,1
clase2,21,2,3,4,3,1
clase2,21,2,3,4,3,1
clase2,23,1,15,4,3,4
clase2,21,2,16,4,3,1
clase2,23,1,15,4,3,4
clase3,35,2,5,4,4,1
clase1,11,1,12,4,4,1
clase2,21,2,5,4,3,2
clase2,21,1,5,4,3,3
clase2,21,2,5,4,3,2
clase2,21,1,5,4,3,1
clase3,34,1,5,4,3,2
clase3,34,1,5,4,3,2
clase3,34,1,5,4,3,2
clase2,23,1,5,4,3,2
clase1,11,1,5,4,3,1
clase2,23,1,5,4,3,3
clase2,23,1,5,4,3,3
clase2,21,2,15,4,3,1
clase2,21,1,6,4,3,2
clase3,34,1,6,4,3,2
clase3,34,1,6,4,3,2
clase2,22,1,6,4,3,2
clase2,21,1,7,4,3,3
clase2,23,2,7,4,3,2
clase3,34,1,7,4,3,2
clase2,21,1,7,4,3,4
clase2,22,1,7,4,3,1
clase3,34,1,7,4,3,3
clase2,23,2,7,4,3,1
clase3,34,1,7,4,3,2
clase3,34,1,7,4,3,2
clase2,21,1,7,4,4,1
clase2,23,1,9,4,2,1
clase2,21,1,8,4,3,3
clase2,22,2,14,4,3,1
clase2,21,1,11,4,3,2
clase2,21,2,12,4,3,1
clase1,12,1,7,4,3,1
clase2,21,1,12,4,3,1
clase2,22,1,17,4,3,2
clase2,23,1,17,4,3,1
clase2,23,1,17,4,3,1
clase2,21,1,13,4,3,2
clase2,21,1,7,4,4,1
clase3,32,2,15,4,3,2
clase2,23,1,15,4,3,3
clase2,23,1,15,4,3,3
clase3,31,1,15,4,3,1
clase3,31,2,16,4,3,1
clase3,34,1,10,4,3,1
clase3,34,1,10,4,3,4
clase2,21,1,10,4,3,3
clase3,35,1,10,4,3,4
clase2,21,1,10,4,3,1
clase3,34,1,10,4,3,1
clase2,22,1,10,4,3,3
clase2,23,2,10,4,3,3
clase2,22,1,10,4,3,3
clase2,22,1,10,4,3,3
clase3,34,1,10,4,3,1
clase2,23,1,2,4,3,1
clase2,21,2,2,4,3,3
clase2,23,1,14,4,3,1
clase2,23,1,14,4,3,4
clase2,23,1,14,4,3,1
clase2,23,1,14,4,3,1
clase2,23,1,3,4,3,1
clase2,23,2,10,4,3,1
clase2,21,1,14,4,3,2
clase2,22,1,15,4,3,3
clase3,35,1,15,4,3,1
clase2,23,1,15,4,3,1
clase1,11,1,5,4,3,1
clase1,11,1,17,4,3,1
clase2,21,1,11,4,3,2
clase2,21,1,15,4,3,4
clase2,21,1,5,4,3,3
clase2,23,1,5,4,3,1
clase2,23,1,5,4,3,2
clase2,22,1,5,4,3,1
clase2,22,2,5,4,3,1
clase2,23,2,5,4,2,1
clase2,21,1,5,4,3,2
clase1,12,1,5,4,2,2
clase2,21,2,5,4,3,3
clase1,12,1,5,4,3,1
clase1,11,1,6,4,3,2
clase1,11,1,6,4,3,2
clase2,21,1,6,4,3,4
clase2,21,1,6,4,3,4
clase2,24,1,6,4,4,1
clase2,21,1,9,4,3,1
clase2,23,1,7,4,3,3
clase2,21,2,7,4,3,1
clase2,21,1,7,4,3,1
clase2,23,2,7,4,3,1
clase2,23,1,7,4,3,1
clase2,23,1,7,4,3,1
clase2,21,1,7,4,3,3
clase3,34,1,7,4,3,1
clase2,23,2,7,4,2,1
clase2,23,1,7,4,3,1
clase1,11,1,7,4,3,1
clase2,21,1,7,4,3,1
clase3,34,1,16,4,3,1
clase2,23,2,7,4,3,3
clase2,21,2,7,4,3,1
clase2,21,1,7,4,3,3
clase2,23,2,9,4,3,3
clase2,23,1,9,4,3,3
clase2,21,1,9,4,3,1
clase2,24,2,8,4,3,1
clase2,21,1,8,4,3,2
clase2,21,2,16,4,3,2
clase2,23,1,16,4,3,3
clase2,21,1,16,4,3,3
clase2,23,1,15,4,3,2
clase2,23,1,16,4,3,1
clase2,23,1,11,4,3,2
clase2,23,1,11,4,3,1
clase2,22,1,12,4,3,2
clase2,22,1,12,4,3,1
clase2,22,1,12,4,3,1
clase2,22,2,12,4,3,1
clase2,23,2,17,4,3,1
clase2,23,1,17,4,3,3
clase3,33,1,17,4,3,1
clase3,33,2,17,4,3,1
clase2,23,2,17,4,3,1
clase2,23,2,17,4,3,1
clase2,22,1,17,4,3,2
clase2,21,2,13,4,3,1
clase2,22,1,13,4,3,2
clase2,21,1,13,4,3,1
clase2,23,1,5,4,3,1
clase3,31,1,6,4,3,4
clase2,21,1,2,4,3,4
clase3,32,1,6,4,3,4
clase3,34,1,15,4,3,3
clase3,31,1,5,4,3,1
clase2,23,1,10,4,3,1
clase2,23,1,10,4,3,2
clase2,22,1,10,4,3,1
clase2,23,1,10,4,3,1
clase1,12,1,10,4,3,2
clase2,23,1,2,4,3,1
clase3,34,1,2,4,3,1
clase3,34,1,2,4,3,2
clase2,23,1,14,4,3,1
clase2,23,2,14,4,3,1
clase3,31,1,15,4,3,3
clase2,23,2,3,4,3,1
clase3,34,1,7,4,3,3
clase2,23,1,3,4,3,4
clase2,23,1,15,4,3,1
clase2,23,1,15,4,3,1
clase3,35,2,17,4,3,1
clase2,22,1,15,4,3,2
clase2,23,2,15,4,2,2
clase2,22,1,15,4,3,3
clase2,22,1,15,4,3,3
clase2,21,1,4,4,3,3
clase1,11,1,14,4,3,1
clase1,11,1,10,4,3,1
clase2,21,1,5,4,3,3
clase3,34,1,5,4,3,3
clase2,23,1,5,4,3,2
clase1,12,1,5,4,3,1
clase1,12,1,5,4,3,1
clase1,12,1,5,4,2,1
clase2,23,1,5,4,3,3
clase2,23,1,5,4,3,1
clase2,23,2,5,4,3,1
clase3,34,1,5,4,3,4
clase2,23,2,5,4,3,3
clase2,23,2,5,4,3,1
clase2,23,2,5,4,3,1
clase3,33,1,5,4,3,1
clase2,23,1,5,4,3,1
clase2,23,1,5,4,3,1
clase2,23,2,5,4,3,1
clase2,23,2,6,4,3,2
clase2,21,1,6,4,3,2
clase3,34,1,7,4,3,3
clase3,34,1,7,4,3,1
clase1,12,1,7,4,3,1
clase2,23,2,7,4,3,1
clase3,34,1,7,4,3,1
clase2,23,1,7,4,3,3
clase2,23,1,7,4,3,3
clase2,22,2,8,4,3,2
clase2,22,1,8,4,3,2
clase1,12,1,16,4,3,2
clase3,34,1,16,4,3,1
clase3,35,2,16,4,3,1
clase2,23,2,16,4,3,3
clase2,23,2,16,4,3,3
clase2,23,2,16,4,3,1
clase2,21,1,11,4,3,1
clase2,21,1,12,4,3,1
clase2,21,2,12,4,3,2
clase2,22,1,12,4,3,2
clase2,23,1,12,4,3,1
clase2,21,2,17,4,3,4
clase2,22,1,17,4,3,3
clase3,34,1,17,4,3,3
clase1,11,2,13,4,3,1
clase3,34,1,13,4,3,1
clase3,34,1,13,4,3,1
clase2,21,1,13,4,3,2
clase2,23,2,15,4,3,1
clase2,23,1,3,4,3,2
clase2,23,2,15,4,3,4
clase2,23,2,15,4,3,4
clase3,31,1,15,4,3,3
clase3,31,2,15,4,3,4
clase3,31,1,15,4,3,3
clase2,21,1,10,4,3,1
clase3,34,1,10,4,3,2
clase2,21,1,10,4,3,1
clase2,22,1,2,4,3,1
clase2,23,2,14,4,3,1
clase2,21,1,14,4,3,2
clase2,23,1,14,4,3,4
clase2,23,2,16,4,3,3
clase3,35,2,3,4,3,2
clase2,23,1,3,4,3,1
clase2,23,1,3,4,3,1
clase2,23,2,3,4,3,1
clase2,21,1,12,4,3,1
clase2,23,1,15,4,3,1
clase2,22,1,15,4,3,1
clase2,23,2,15,4,3,2
clase2,23,2,15,4,3,1
clase2,23,2,15,4,3,4
clase3,31,2,15,4,3,1
clase2,23,2,4,4,3,1
clase2,23,1,15,4,3,1
clase2,23,1,16,4,3,1
clase1,11,1,7,4,3,1
clase2,21,1,7,4,3,1
